id,full_name,url,stars,forks,commit,openIssue,closedIssue,collaborators,ML_usage
169674091,lululxvi/deepxde,https://api.github.com/repos/lululxvi/deepxde,853,307,739,88,331,26,TRUE
156926195,tensorflow/io,https://api.github.com/repos/tensorflow/io,532,219,1558,164,329,85,TRUE
166495086,BrikerMan/Kashgari,https://api.github.com/repos/BrikerMan/Kashgari,2256,429,955,37,326,20,TRUE
174168383,murthylab/sleap,https://api.github.com/repos/murthylab/sleap,135,29,2891,23,324,12,TRUE
287463830,microsoft/qlib,https://api.github.com/repos/microsoft/qlib,7988,1364,1681,138,313,72,TRUE
198232685,deepmind/open_spiel,https://api.github.com/repos/deepmind/open_spiel,3078,644,2915,31,312,107,TRUE
172640711,lightvector/KataGo,https://api.github.com/repos/lightvector/KataGo,1516,328,2940,175,306,28,TRUE
93641740,nanoporetech/medaka,https://api.github.com/repos/nanoporetech/medaka,220,43,1269,25,303,9,TRUE
100326126,plaidml/plaidml,https://api.github.com/repos/plaidml/plaidml,4328,406,1861,285,301,43,TRUE
22937749,rasbt/mlxtend,https://api.github.com/repos/rasbt/mlxtend,3791,746,1263,90,299,78,TRUE
191126383,allegroai/clearml,https://api.github.com/repos/allegroai/clearml,2988,412,1529,163,296,43,TRUE
128121076,dmlc/gluon-nlp,https://api.github.com/repos/dmlc/gluon-nlp,2364,524,840,232,295,77,TRUE
153097694,openvinotoolkit/open_model_zoo,https://api.github.com/repos/openvinotoolkit/open_model_zoo,3018,1065,7903,30,293,122,TRUE
100464123,microsoft/MMdnn,https://api.github.com/repos/microsoft/MMdnn,5507,973,1083,318,289,66,TRUE
95995403,lmcinnes/umap,https://api.github.com/repos/lmcinnes/umap,5388,611,1572,302,286,86,TRUE
130871393,IntelLabs/distiller,https://api.github.com/repos/IntelLabs/distiller,3811,748,640,62,282,24,TRUE
215649623,Xilinx/Vitis-AI,https://api.github.com/repos/Xilinx/Vitis-AI,747,435,1161,303,279,32,TRUE
254142161,Seagate/cortx,https://api.github.com/repos/Seagate/cortx,540,309,5562,12,276,207,TRUE
61130280,rwth-i6/returnn,https://api.github.com/repos/rwth-i6/returnn,313,128,9093,64,273,48,TRUE
81634683,Oneflow-Inc/oneflow,https://api.github.com/repos/Oneflow-Inc/oneflow,2998,359,7699,192,271,104,TRUE
372489086,prathimacode-hub/ML-ProjectKart,https://api.github.com/repos/prathimacode-hub/ML-ProjectKart,131,145,2603,41,271,61,TRUE
105942505,onnx/onnx-tensorflow,https://api.github.com/repos/onnx/onnx-tensorflow,1019,268,732,218,270,35,TRUE
33904449,Kaggle/docker-python,https://api.github.com/repos/Kaggle/docker-python,1886,816,1958,14,269,123,TRUE
72132009,ucbrise/clipper,https://api.github.com/repos/ucbrise/clipper,1314,272,305,114,268,36,TRUE
153597157,blue-oil/blueoil,https://api.github.com/repos/blue-oil/blueoil,249,88,1540,123,267,52,TRUE
76095264,autorope/donkeycar,https://api.github.com/repos/autorope/donkeycar,2214,1141,2125,79,266,107,TRUE
133389787,voxelmorph/voxelmorph,https://api.github.com/repos/voxelmorph/voxelmorph,1412,436,515,47,262,8,TRUE
104001805,HealthRex/CDSS,https://api.github.com/repos/HealthRex/CDSS,64,27,2154,80,261,25,TRUE
65924871,probml/pyprobml,https://api.github.com/repos/probml/pyprobml,4252,987,2468,7,254,32,TRUE
219892487,aws/aws-neuron-sdk,https://api.github.com/repos/aws/aws-neuron-sdk,225,77,702,22,251,39,TRUE
119455332,tensorflow/minigo,https://api.github.com/repos/tensorflow/minigo,3278,550,1434,73,248,23,TRUE
63446519,Dobiasd/frugally-deep,https://api.github.com/repos/Dobiasd/frugally-deep,833,195,1455,6,246,23,TRUE
126222784,tf-encrypted/tf-encrypted,https://api.github.com/repos/tf-encrypted/tf-encrypted,974,175,595,168,243,24,TRUE
85352239,h2oai/h2o4gpu,https://api.github.com/repos/h2oai/h2o4gpu,437,104,2267,145,242,23,TRUE
183506381,google/TensorNetwork,https://api.github.com/repos/google/TensorNetwork,1539,332,566,107,239,50,TRUE
41323480,itdxer/neupy,https://api.github.com/repos/itdxer/neupy,701,153,1145,32,234,5,TRUE
160251929,tensorflow/ranking,https://api.github.com/repos/tensorflow/ranking,2410,417,442,50,233,25,TRUE
