id,full_name,url,stars,forks,collaborators,commits,open_issue,closed_issue
131881622,NVIDIA/DeepLearningExamples,https://api.github.com/repos/NVIDIA/DeepLearningExamples,7694,2172,2,1080,124,453
90321822,pytorch/audio,https://api.github.com/repos/pytorch/audio,1594,387,147,1341,125,450
252778465,NVIDIA-Merlin/NVTabular,https://api.github.com/repos/NVIDIA-Merlin/NVTabular,651,102,32,839,173,440
60626727,tensorlayer/TensorLayer,https://api.github.com/repos/tensorlayer/TensorLayer,6889,1542,89,3350,21,438
186872119,awslabs/gluon-ts,https://api.github.com/repos/awslabs/gluon-ts,2466,522,76,854,219,431
301903883,huawei-noah/SMARTS,https://api.github.com/repos/huawei-noah/SMARTS,525,103,11,330,205,429
278003645,open-mmlab/mmpose,https://api.github.com/repos/open-mmlab/mmpose,1634,387,51,631,54,428
68254498,cleverhans-lab/cleverhans,https://api.github.com/repos/cleverhans-lab/cleverhans,5410,1351,110,3201,21,422
137125898,Qiskit/qiskit-aqua,https://api.github.com/repos/Qiskit/qiskit-aqua,557,391,85,6297,10,418
138831170,facebookresearch/mmf,https://api.github.com/repos/facebookresearch/mmf,4799,828,70,1033,163,417
140325970,cmu-db/noisepage,https://api.github.com/repos/cmu-db/noisepage,1448,410,52,879,176,415
145693916,kornia/kornia,https://api.github.com/repos/kornia/kornia,5932,597,150,1968,117,405
235860204,microsoft/DeepSpeed,https://api.github.com/repos/microsoft/DeepSpeed,6322,726,90,876,377,404
148566613,mlcommons/inference,https://api.github.com/repos/mlcommons/inference,578,334,76,1259,78,403
130725814,NVIDIA/apex,https://api.github.com/repos/NVIDIA/apex,6092,937,83,928,523,402
168799526,rwightman/pytorch-image-models,https://api.github.com/repos/rwightman/pytorch-image-models,16563,2707,52,1266,48,399
166499614,traveller59/spconv,https://api.github.com/repos/traveller59/spconv,853,243,6,177,26,399
249615315,nnstreamer/nntrainer,https://api.github.com/repos/nnstreamer/nntrainer,66,33,14,1865,149,396
245145949,ContinualAI/avalanche,https://api.github.com/repos/ContinualAI/avalanche,744,115,48,2390,60,395
257688216,quic/aimet,https://api.github.com/repos/quic/aimet,851,161,18,641,113,394
197409619,deepset-ai/FARM,https://api.github.com/repos/deepset-ai/FARM,1470,215,38,592,5,391
198350484,microsoft/unilm,https://api.github.com/repos/microsoft/unilm,4568,910,31,550,167,391
124800162,KaiyangZhou/deep-person-reid,https://api.github.com/repos/KaiyangZhou/deep-person-reid,3164,904,9,881,78,390
277549433,akshitagupta15june/Face-X,https://api.github.com/repos/akshitagupta15june/Face-X,142,218,102,2823,26,388
169442310,amaiya/ktrain,https://api.github.com/repos/amaiya/ktrain,953,237,13,2585,0,387
133808899,helmholtz-analytics/heat,https://api.github.com/repos/helmholtz-analytics/heat,92,22,20,5404,124,384
333857397,PyTorchLightning/lightning-flash,https://api.github.com/repos/PyTorchLightning/lightning-flash,1391,146,64,828,27,382
303680708,IEEESFIT1/OpenOctober,https://api.github.com/repos/IEEESFIT1/OpenOctober,27,51,42,1116,4,379
16996386,RoboJackets/igvc-software,https://api.github.com/repos/RoboJackets/igvc-software,78,126,52,6846,85,378
169164539,facebookresearch/habitat-sim,https://api.github.com/repos/facebookresearch/habitat-sim,1373,268,40,1183,75,377
215649623,Xilinx/Vitis-AI,https://api.github.com/repos/Xilinx/Vitis-AI,759,439,32,1162,214,377
119894375,kubeflow/examples,https://api.github.com/repos/kubeflow/examples,1118,611,79,501,2,377
76210069,pytorch/text,https://api.github.com/repos/pytorch/text,2950,697,102,1015,248,370
97533515,skorch-dev/skorch,https://api.github.com/repos/skorch-dev/skorch,4370,307,44,976,51,370
214165016,DLR-RM/BlenderProc,https://api.github.com/repos/DLR-RM/BlenderProc,1238,233,35,4399,25,369
138796699,dbolya/yolact,https://api.github.com/repos/dbolya/yolact,4134,1119,2,563,323,369
94218531,lanpa/tensorboardX,https://api.github.com/repos/lanpa/tensorboardX,7240,850,64,483,63,365
69709572,pytorch/tutorials,https://api.github.com/repos/pytorch/tutorials,5786,3204,395,1736,150,364
237686847,MouseLand/cellpose,https://api.github.com/repos/MouseLand/cellpose,466,168,22,571,36,363
132042932,NVIDIA/tacotron2,https://api.github.com/repos/NVIDIA/tacotron2,3418,1033,9,134,125,359
247562854,jina-ai/jina-hub,https://api.github.com/repos/jina-ai/jina-hub,95,54,44,2561,4,356
43400734,denizyuret/Knet.jl,https://api.github.com/repos/denizyuret/Knet.jl,1333,233,33,3085,138,352
366659969,labelflow/labelflow,https://api.github.com/repos/labelflow/labelflow,156,17,16,4415,127,347
253385242,zylo117/Yet-Another-EfficientDet-Pytorch,https://api.github.com/repos/zylo117/Yet-Another-EfficientDet-Pytorch,4980,1257,15,199,334,341
224148738,fepegar/torchio,https://api.github.com/repos/fepegar/torchio,1286,170,32,1367,25,339
232347878,mlverse/torch,https://api.github.com/repos/mlverse/torch,305,47,29,3475,52,336
36077404,jolibrain/deepdetect,https://api.github.com/repos/jolibrain/deepdetect,2330,542,21,3134,79,335
247266215,JaidedAI/EasyOCR,https://api.github.com/repos/JaidedAI/EasyOCR,13824,1874,81,476,170,335
246634306,NVIDIA/Torch-TensorRT,https://api.github.com/repos/NVIDIA/Torch-TensorRT,1248,148,30,1866,95,334
145385156,catalyst-team/catalyst,https://api.github.com/repos/catalyst-team/catalyst,2846,354,98,1691,2,328
169880381,facebook/Ax,https://api.github.com/repos/facebook/Ax,1711,187,72,1699,27,323
179401695,NVIDIA/MinkowskiEngine,https://api.github.com/repos/NVIDIA/MinkowskiEngine,1489,211,22,526,83,323
287463830,microsoft/qlib,https://api.github.com/repos/microsoft/qlib,8074,1386,72,1685,137,322
83191570,thunlp/OpenNRE,https://api.github.com/repos/thunlp/OpenNRE,3495,980,7,161,15,321
198232685,deepmind/open_spiel,https://api.github.com/repos/deepmind/open_spiel,3085,649,107,2923,33,312
106170611,thunlp/OpenKE,https://api.github.com/repos/thunlp/OpenKE,2905,866,11,113,19,312
172640711,lightvector/KataGo,https://api.github.com/repos/lightvector/KataGo,1530,331,28,2940,178,306
191126383,allegroai/clearml,https://api.github.com/repos/allegroai/clearml,3007,412,43,1539,170,297
128121076,dmlc/gluon-nlp,https://api.github.com/repos/dmlc/gluon-nlp,2372,524,77,840,231,296
187716171,mindsdb/lightwood,https://api.github.com/repos/mindsdb/lightwood,236,51,23,4637,36,292
118849292,ivadomed/ivadomed,https://api.github.com/repos/ivadomed/ivadomed,131,142,27,3959,209,288
217113590,KevinMusgrave/pytorch-metric-learning,https://api.github.com/repos/KevinMusgrave/pytorch-metric-learning,4144,513,22,849,37,288
239769118,mackelab/sbi,https://api.github.com/repos/mackelab/sbi,258,55,30,834,28,283
130871393,IntelLabs/distiller,https://api.github.com/repos/IntelLabs/distiller,3820,753,26,640,62,282
169164391,facebookresearch/habitat-lab,https://api.github.com/repos/facebookresearch/habitat-lab,790,272,45,410,146,282
175702160,NVIDIA/retinanet-examples,https://api.github.com/repos/NVIDIA/retinanet-examples,793,251,11,155,15,280
61130280,rwth-i6/returnn,https://api.github.com/repos/rwth-i6/returnn,313,127,48,9139,66,278
173333035,qubvel/segmentation_models.pytorch,https://api.github.com/repos/qubvel/segmentation_models.pytorch,4917,982,33,187,125,278
100485912,milesial/Pytorch-UNet,https://api.github.com/repos/milesial/Pytorch-UNet,4984,1599,14,121,23,278
254142161,Seagate/cortx,https://api.github.com/repos/Seagate/cortx,541,310,202,5617,12,277
81634683,Oneflow-Inc/oneflow,https://api.github.com/repos/Oneflow-Inc/oneflow,3023,367,106,7745,197,275
129815042,thu-ml/tianshou,https://api.github.com/repos/thu-ml/tianshou,4312,683,32,303,38,272
334600956,Justin62628/Squirrel-RIFE,https://api.github.com/repos/Justin62628/Squirrel-RIFE,891,65,8,182,61,272
76095264,autorope/donkeycar,https://api.github.com/repos/autorope/donkeycar,2215,1142,109,2126,76,269
72132009,ucbrise/clipper,https://api.github.com/repos/ucbrise/clipper,1313,273,38,305,114,268
203999962,open-mmlab/mmediting,https://api.github.com/repos/open-mmlab/mmediting,2743,530,45,1217,55,265
93721432,awslabs/sockeye,https://api.github.com/repos/awslabs/sockeye,1048,307,49,792,9,263
133389787,voxelmorph/voxelmorph,https://api.github.com/repos/voxelmorph/voxelmorph,1426,438,8,516,46,263
271579390,RUCAIBox/RecBole,https://api.github.com/repos/RUCAIBox/RecBole,1632,293,39,3412,47,262
211822289,timeseriesAI/tsai,https://api.github.com/repos/timeseriesAI/tsai,1702,249,11,817,18,262
151186173,kymatio/kymatio,https://api.github.com/repos/kymatio/kymatio,489,90,23,572,65,261
250025410,PyTorchLightning/lightning-bolts,https://api.github.com/repos/PyTorchLightning/lightning-bolts,1242,252,87,563,42,260
204734444,pytorch/captum,https://api.github.com/repos/pytorch/captum,2956,318,71,895,65,258
179265268,visionml/pytracking,https://api.github.com/repos/visionml/pytracking,2043,468,10,263,33,257
35872353,mittagessen/kraken,https://api.github.com/repos/mittagessen/kraken,370,80,19,1523,10,255
65924871,probml/pyprobml,https://api.github.com/repos/probml/pyprobml,4283,996,32,2475,17,254
80655163,ellisdg/3DUnetCNN,https://api.github.com/repos/ellisdg/3DUnetCNN,1460,612,3,372,6,252
