id,full_name,url,stars,forks,commit,openIssue,closedIssue,collaborators,last_activity
249303697,laike9m/Cyberbrain,https://api.github.com/repos/laike9m/Cyberbrain,2034,114,650,34,65,11,2022-01-13T06:04:31Z
266744330,gpuhackathons-org/gpubootcamp,https://api.github.com/repos/gpuhackathons-org/gpubootcamp,182,118,202,18,28,11,2021-11-26T10:06:07Z
209895143,faustomorales/keras-ocr,https://api.github.com/repos/faustomorales/keras-ocr,969,249,184,53,106,11,2021-11-24T10:16:01Z
207460987,microsoft/HealthyCountryAI,https://api.github.com/repos/microsoft/HealthyCountryAI,40,18,301,21,4,11,2021-11-23T06:35:34Z
244029618,data-science-on-aws/oreilly_book,https://api.github.com/repos/data-science-on-aws/oreilly_book,2468,786,3075,75,135,10,2022-02-13T23:35:16Z
275910898,petuum/autodist,https://api.github.com/repos/petuum/autodist,119,22,208,11,1,10,2022-02-11T03:20:37Z
37615400,kristinbranson/APT,https://api.github.com/repos/kristinbranson/APT,57,10,3443,135,233,10,2022-02-10T13:47:55Z
19313806,scikit-multilearn/scikit-multilearn,https://api.github.com/repos/scikit-multilearn/scikit-multilearn,719,140,487,75,94,10,2022-02-10T06:23:08Z
153201352,google-research/language,https://api.github.com/repos/google-research/language,1133,269,110,51,38,10,2022-02-10T05:53:29Z
127043727,tbd-ai/tbd-suite,https://api.github.com/repos/tbd-ai/tbd-suite,46,13,120,0,1,10,2022-02-09T23:27:46Z
286167370,datawhalechina/fun-rec,https://api.github.com/repos/datawhalechina/fun-rec,1058,351,210,0,21,10,2022-02-08T05:20:24Z
95608664,ceccocats/tkDNN,https://api.github.com/repos/ceccocats/tkDNN,624,188,530,27,227,10,2022-01-27T09:53:42Z
196285151,aws-samples/eks-workshop-greater-china,https://api.github.com/repos/aws-samples/eks-workshop-greater-china,121,90,164,7,11,10,2022-01-24T10:30:39Z
281076856,MLReef/mlreef,https://api.github.com/repos/MLReef/mlreef,1361,319,2876,0,9,10,2022-01-12T16:47:59Z
